id,fin_year,month,state_code,state_name,district_code,district_name,report_date,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
231,2023-2024,Aug,31,UTTAR PRADESH,3110,MORADABAD,2023-08-01,1928150,222.988424358522,31,153,1362.713985666,2498,3,17634,1893908,377086,38660,1326,132,31.54551,5617.455103666,59748,69657,133030,178967,159,174423,257797,20132,4223.195608,538352,28,57.53,15.18,101.49,
232,2023-2024,Aug,31,UTTAR PRADESH,3116,GHAZIABAD,2023-08-01,1,358.216494845361,12,0,0,0,143,30,97,3,17,0,0,0,0.34747,8,8,40,52,0,14794,24177,30,0.34747,0,26,100,0,100,
233,2023-2024,Aug,31,UTTAR PRADESH,3126,PILIBHIT,2023-08-01,1920377,225.005477774745,28,388,2568.454263089,3347,2,29957,1920068,283582,48366,4646,611,92.31072,6981.023160089,68483,82126,171573,255993,75,211720,312438,33304,4320.258177,767177,54,19.24,20.98,100.23,
234,2023-2024,Aug,31,UTTAR PRADESH,3127,SHAHJAHANPUR,2023-08-01,2064442,217.82146580341,29,361,2037.479471646,2425,1,47953,2064431,577773,85503,914,96,197.91891,6732.172246346,70963,85402,205622,279417,74,274992,375695,50378,4496.7738647,639360,58,19.52,20.67,101.33,
235,2023-2024,Aug,31,UTTAR PRADESH,3129,SITAPUR,2023-08-01,6218965,226.481527673594,37,770,7743.08706313199,12670,4,78373,6218979,2107834,247404,4610,382,277.01922,22104.944928032,165051,205448,417610,600972,1290,556169,793830,91043,14084.8386449,2169715,61,27.89,24.45,102.92,
236,2023-2024,Aug,31,UTTAR PRADESH,3150,SULTANPUR,2023-08-01,4537653,214.143354060702,43,231,5636.233685048,4180,5,52713,4537479,1091559,74605,9134,446,192.32458,15545.267985448,103853,112069,219759,257476,988,272490,321829,56893,9716.7097204,2382544,63,24.7,21.21,103.15,
237,2023-2024,Aug,31,UTTAR PRADESH,3152,MAHARAJGANJ,2023-08-01,4271527,226.325606629099,32,399,8537.530284486,8473,0,45889,4271531,972049,90364,23241,2105,154.63949,18359.738222586,131786,157112,277266,399341,941,343049,499030,54362,9667.5684481,2095501,48,30.86,28.94,100.05,
238,2023-2024,Aug,31,UTTAR PRADESH,3153,BASTI,2023-08-01,8159416,223.051461389704,43,234,11979.440779868,8784,19,45340,8159391,2148450,108714,406,12,212.47246,30391.554105868,187446,213261,318979,399976,1600,382754,510950,54124,18199.640866,4169426,36,39.82,35.17,101.09,
239,2023-2024,Aug,31,UTTAR PRADESH,3154,GORAKHPUR,2023-08-01,4281338,225.735744538372,41,137,4856.923997675,4788,9,39152,4281324,1463933,100654,6440,366,210.07874,14731.481345175,102950,112226,236331,289107,855,320161,384567,43940,9664.4786075,2018580,41,27.79,42.55,99.89,
240,2023-2024,Aug,31,UTTAR PRADESH,3158,JAUNPUR,2023-08-01,7064032,215.244422021997,39,267,6250.106872255,7491,14,76516,7061376,2452456,140118,506,5,250.93822,21700.263050255,178544,185867,341365,372309,1032,434490,478857,84007,15199.217958,3706161,56,30.8,30.52,100.51,
